iter	Passed	Remaining
828	33989	7011
829	34042	6972
830	34097	6934
831	34140	6893
832	34180	6852
833	34222	6811
834	34259	6769
835	34300	6728
836	34338	6687
837	34377	6645
838	34415	6604
839	34454	6562
840	34521	6526
841	34569	6486
842	34608	6445
843	34642	6403
844	34683	6362
845	34725	6321
846	34763	6279
847	34806	6238
848	34847	6197
849	34884	6156
850	34926	6115
851	34966	6073
852	35008	6033
853	35047	5991
854	35084	5949
855	35126	5909
856	35168	5868
857	35206	5826
858	35245	5785
859	35288	5744
860	35326	5703
861	35374	5663
862	35417	5622
863	35455	5581
864	35495	5539
865	35534	5498
866	35564	5455
867	35602	5414
868	35638	5372
869	35684	5332
870	35721	5290
871	35766	5250
872	35802	5208
873	35840	5166
874	35882	5126
875	35926	5085
876	35967	5044
877	36006	5003
878	36047	4962
879	36085	4920
880	36132	4880
881	36180	4840
882	36231	4800
883	36272	4759
884	36321	4719
885	36356	4677
886	36398	4637
887	36434	4595
888	36468	4553
889	36501	4511
890	36531	4469
891	36563	4427
892	36594	4384
893	36625	4342
894	36659	4300
895	36690	4258
896	36720	4216
897	36750	4174
898	36781	4132
899	36812	4090
900	36849	4048
901	36886	4007
902	36928	3966
903	36970	3926
904	37006	3884
905	37036	3842
906	37079	3801
907	37120	3761
908	37157	3719
909	37195	3678
910	37234	3637
911	37274	3596
912	37316	3555
913	37362	3515
914	37401	3474
915	37442	3433
916	37480	3392
917	37518	3351
918	37555	3310
919	37592	3268
920	37632	3227
921	37674	3187
922	37717	3146
923	37753	3105
924	37796	3064
925	37836	3023
926	37872	2982
927	37917	2941
928	37956	2900
929	37999	2860
930	38039	2819
931	38075	2778
932	38114	2737
933	38152	2695
934	38197	2655
935	38237	2614
936	38273	2573
937	38311	2532
938	38354	2491
939	38412	2451
940	38442	2410
941	38473	2368
942	38514	2327
943	38570	2288
944	38619	2247
945	38667	2207
946	38717	2166
947	38763	2126
948	38811	2085
949	38844	2044
950	38879	2003
951	38921	1962
952	38963	1921
953	39002	1880
954	39033	1839
955	39072	1798
956	39115	1757
957	39155	1716
958	39192	1675
959	39231	1634
960	39267	1593
961	39305	1552
962	39343	1511
963	39389	1470
964	39420	1429
965	39460	1388
966	39504	1348
967	39544	1307
968	39583	1266
969	39629	1225
970	39670	1184
971	39713	1143
972	39756	1103
973	39797	1062
974	39842	1021
975	39891	980
976	39929	939
977	39967	899
978	40009	858
979	40038	817
980	40072	776
981	40113	735
982	40154	694
983	40191	653
984	40231	612
985	40270	571
986	40312	530
987	40347	490
988	40385	449
989	40424	408
990	40458	367
991	40489	326
992	40518	285
993	40552	244
994	40584	203
995	40616	163
996	40648	122
997	40689	81
998	40719	40
999	40757	0
